#漢字	音標	解釋
□	tʂʰua7	~雨:淋雨
□	kʰa7	咳嗽
□	nia1	娇气
□	pʰa3	小孩坐姿不端正，身子前倾匍匐在桌子上
□	tɕyɛ5	恶言骂人
□	kʰɛ3	手被刀子~条口
□	mẽ3	木头使用年代已久变质很脆，失去了原有的那种坚韧性
□	o7	烫
□	kʰuɛ7	物体表面凹下去
□	tsẽ3	细小的裂缝
㞎	pa3	~~，婴儿或小孩儿的大便
一	i7	
丁	tiẽ1	
七	tɕʰi7	
万	uan5	
丈	tʂaŋ5	
三	san1	
上	ʂaŋ5	
下	ɕia5=	
下	xa5-	底~，等一~
不	pu7	
丑	tʂʰou3	
專	tʂuan1	
且	tɕʰyɛ3	
世	ʂʅ2	
丘	tɕʰiou1	
丙	piẽ3	
業	niɛ7	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丢	tiou1	
兩	niaŋ3	
嚴	ian2	
喪	saŋ2	~失，~命
喪	saŋ1	奔~，~事
个	ko2	
丫	ŋa1	
中	tʂoŋ1	
丰	xoŋ1	
串	tʂʰuan2	
臨	niẽ2	
丸	yan2	
丹	tan1	
爲	uei2	~么子
爲	uei2	作~
主	tʂʯ3	
麗	ni2	
舉	tɕy3	
久	tɕiou3	
義	i5	
之	tʂʅ1	
烏	vu1	
樂	no7	
樂	io7	
喬	tɕʰiau2	
乖	kuai1	
乙	i7	
九	tɕiou3	
乞	tɕʰi7	
也	iɛ3	
習	ɕi7	
鄉	ɕiaŋ1	
書	ʂʯ1	
買	mai3	
亂	nan5	
乳	ʐʯ3	
乾	kan1	
乾	tɕʰian2	
了	niau3	
爭	tsẽ1	
事	sɿ5	
二	ɚ5	
于	y2	
虧	kʰuei1	
云	yẽ2	
五	vu3	
井	tɕiẽ3	
亞	ia5	
些	ɕi1	
亡	uaŋ2	
交	tɕiau1	
亥	xai5	
產	tʂʰan3	
畝	mo3	
享	ɕiaŋ3	
京	tɕiẽ1	
亭	tʰiẽ2	
亮	niaŋ5	
親	tɕʰiẽ1	~戚
親	tɕʰiẽ2	~家
人	ʐẽ2	
億	i2	
仁	ʐẽ2	
仆	pʰu7	
仇	tʂʰou2	
仇	tɕʰiou2	姓
今	tɕiẽ1	
介	kai2	
从	tsʰoŋ2	
倉	tsʰaŋ1	
他	tʰa1	
