#漢字	音標	解釋	#('cmn_jh_hc_yc', '鹽城話', '鹽城', '#800080', '淮語字典', 'https://huae.sourceforge.io/query.php?table=類音字彙&字=%s', '更新：2021-09-17<br>來源：osfans整理自<a href=http://huae.nguyoeh.com/>《類音字彙》</a>、《鹽城縣志》', '31 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,55 3 2 上 ꜂,,35 5 3 去 ꜄,,5 7 4 入 ꜆')
□	tɕiɤɯ1	～嘴
□	sɿ2	下陷：地基不牢，房子往下～
□	xɤɯ2	～觉
□	ɕiɤɯ2	吸
□	tɕʰiɤɯ3	瞎～
□	xɤɯ5	朝前～
□	tsuɛʔ7	吃
□	kʰuɛʔ7	挖～：坏点子多
□	nʊʔ7	牙齒不好的人慢慢嚼
〇	lin2
㐁	tʰĩ5
㐜	tɕʰiɤɯ2
㐨	ɕy5
㐭	lin3
㐸	tɕʰĩ5
㐹	ɕi5
㐼	sən1
㑁	tsʰuəʔ7
㑉	sɔʔ7
㑘	tɕiɛ5
㑛	sɔʔ7
儸	lʊ2
㑴	tɕin1
㑶	ɕi5
㒃	ɔ5
㒓	tʰɛʔ7
㒔	tɔʔ7
㒔	sɔʔ7
㒝	miʔ7
㒭	kʰuən1
㒰	tɕʰyʊ̃2
㒵	mɔ5
㒾	sɿ5
㒿	li2
㓊	tɔŋ5
㓎	tɕin1
㓔	ɕiɪ5
㓟	pʰi1
㓤	kʰua2?
㓮	tiɔ1
㓲	pʰĩ5
㓾	tsʰɿ2
㔃	tɕiʔ7
㔆	tsɛ̃1
㔐	tɕʰĩ1
㔕	tɕiəʔ7
㔙	pɔŋ3
㔞	kʰuɛ1
㔬	tsuaʔ7
㔸	tʰi5
㕋	tɕʰin2
㕑	tsʰu2
㕔	tʰin1
㕛	iɤɯ3
㕥	i3
㕦	xua2
㕫	fã3
㕯	nəʔ7
㕰	ɕiaʔ7
㖅	ɕyəʔ7
㖔	tʰən3
㖟	sɤɯ5
㖠	nɛ5
㖡	iɪ5
㖤	xɛ̃2
㖨	lɔʔ7
㖹	pʰən2
㖺	tsʰuən3
㖻	niɤɯ2
㗅	xu2
㗆	kəʔ7
㗊	tɕiəʔ7
㗗	kuɛ3
㗘	pʰaʔ7
㗥	kuaʔ7
㗫	tɕi5
㗫	tɕʰiʔ7
㗬	tsa1
㗶	pʰʊʔ7
㗾	xʊ1
㗿	ɕia3
㘆	tʰɛ3
㘍	tɕiəʔ7
㘐	pʰɔ5
㘜	tsʰɤɯ2
㘝	niʔ7
㘞	xʊ2
㘞	xʊ5
㘠	piəʔ7
㘢	ɔŋ3
㘤	uɛ̃1
㘦	tɕin5
㘧	ɕy5
㘨	kʰuɛ5
㘭	ua5
㙀	liɤɯ5
㙁	miɪ2
㙃	pã1
㙃	pən1
㙃	pʰən2
㙊	tsʰã2
㙎	uɪ1
㙏	fɔʔ7
㙐	tʊ̃3
㙑	y3
㙚	ɕin1
㙝	ɕiʔ7
㙠	i1
㙣	tsã5
㙮	tɛʔ7
㙱	xɔ5
㙳	kʰɛ̃3
㙴	tsĩ1
㙺	kʰuɪ5
㙻	tsʰĩ2
㚀	ɕi1
㚄	tsɿ5
㚆	fɔʔ7
㚊	kɛ1
㚌	xʊ3
㚓	lɛ3
㚔	niʔ7
㚕	fəʔ7
㚖	kɔ3
㚗	tɕiɪ1
㚘	pʰʊ̃5
㚜	yəʔ7
㚠	tɕʰiɔ1
㚡	tɕi3
㚣	tɕiɔ1
㚧	lĩ3
㚩	lĩ3
㚪	xɔ5
㚬	tɕyn1
㚱	tɕʰiɤɯ1
㚳	ʊ1
㚻	tɕi1
㛃	tɕiʔ7
㛄	i1
㛅	ɔ3
㛆	tʊ3
㛊	tʊ3
㛍	ɕiʔ7
㛎	ly3
㛏	tɕʰiɤɯ2
㛑	tsʰɛ̃5
㛓	tsʰɿ1
㛖	sʊ1
㛗	sʊ1
㛙	ɕin1
㛚	tʰɔŋ2
㛮	sɔ3
㛳	i5
㜇	xuɪ5
㜈	u5
㜎	ɕi2
㜚	sɔʔ7
㝂	tsiʔ7
㝃	mĩ3
㝅	lɤɯ3
㝖	i2
㝗	lã2
㝜	ɕiəʔ7
㝝	lin2
㝞	ia1
㝤	kɤɯ5
㝩	kʰã1
㝫	lɔŋ2
㝭	ɕin3
㝯	tɕʰiɔ2
㝱	mɔŋ5
㝵	ɛ5
㝺	tɕĩ5
㝻	tɕin5
㞃	tɕiəʔ7
㞎	pa3	～～：大便，儿语
㞒	xɛ5
㞗	tɕʰiɤɯ2
㞚	sɛʔ7	楔：木頭～
㞞	sɔŋ2
㞠	liɔ2
㞡	tsĩ3
㞢	tsɿ1
㞤	in2
㞥	tsʰən2
㞩	lʊ̃2
㞷	xuã2
㞾	ni2
㟍	lã2
㟐	mã2
㟛	kʰɛ̃5
㟝	pʰiɪ2
㟟	xã5
㟵	kã1
㟾	iɔŋ1
㠀	tɔ3
㠢	xuɛ3
㠮	pʰɔŋ1
㠯	i3
㠲	pi3
㠴	lən3
㠵	xuã1
㠸	fu1
㠹	tɕiɛ5
㠺	sa1
㠾	yʊ̃1
㠿	tsɿ1
㡀	piɪ5
㡁	kʰua5
㡂	li5
㡆	xuã1
㡈	mĩ3
㡊	tɕʰiaʔ7
㡌	mɔ5
㡑	tɕʰiɔ1
㡒	tʰən2
㡒	tən5
㡓	kʰuən1
㡔	u5
㡔	mɔʔ7
㡕	in1
㡚	kɤɯ1
㡜	ɕi5
㡞	lɤɯ2
㡣	lɔŋ2
㡩	lʊ̃2
㡭	tɕi5
㡮	tɕiəʔ7
㡳	ti3
㡶	tsɿ5
㡹	tɕy1
㡺	tɛ̃5
㡼	i5
㡽	tsɔ5
㡾	ɕiɛ̃5
㡿	tsʰəʔ7
㢃	lã2
㢈	tiɪ1
㢉	tsʰa2
㢒	tɕʰia1
㢔	tsɔŋ3
㢝	su1
㢧	tɕyʊ̃5
㢨	xɛ̃5
㢩	tiəʔ7
㣌	sɛ̃5
㣑	iɔŋ2
㣔	tin1
㣚	tʰɔŋ3
㣜	ɕin2
㣝	sɔŋ1
㣞	tʊʔ7	慢行：慢慢向前～
㣤	tɕĩ5
㣥	tsɿ3
㣪	ʊ̃5
㣫	tsɔŋ3
㣬	tɕʰiəʔ7
㣲	uɪ2
㣵	tʰɛʔ7
㣼	lən3
㤁	tʰĩ3
㤂	tɕiəʔ7
㤃	fã1
㤄	pʰiɪ5
㤆	fɛ̃5
㤊	ɕiɔ2
㤌	kɛ̃1
㤎	kɤɯ1
㤏	tʰɔŋ2
㤐	tʰiʔ7
㤓	pən3
㤔	fu5
㤕	tsʰuəʔ7
㤕	tɕʰyəʔ7
㥮	tsɤɯ2	脾气犟
㤜	ɕyəʔ7
㤞	taʔ7
㤟	kʰɔŋ3
㤠	liʔ7
㤡	liʔ7
㤢	iɔʔ7
㤣	pʰɔŋ1
㤨	kɔŋ3
㤮	kuã5
㤺	xuã1
懤	tsʰɤɯ2
㥁	təʔ7
㥂	tʰəʔ7
㥇	tsʰɛ̃2
㥌	tɕiɔʔ7
㥏	tʰĩ3
㥒	tsʰɛ3
㥔	iɔʔ7
㥚	y2
㥛	tɕiəʔ7
㥜	uɪ5
㥠	ɕy3
㥣	xuɪ5
㥥	y2
㥦	tɕiɛʔ7
㥬	pʰã2
㥭	tʰɛ5
㥮	tsɤɯ2
㥮	tsʰɔ3
㥯	in3
㥰	sɔ1
㥱	fiɪ3
㥳	yʊ̃2
㥶	səʔ7
㥹	fən3
㥼	in3
㥾	niəʔ7
㥿	ɔ5
㦁	lĩ2
㦃	tsʰɛ̃3
