#漢字	音標	解釋
□	kuɑ1	傻子,太~啦
□	tʂʅ1	在水里泡着
□	tʰɑ1	垫子,草~~
□	tsʰei1	拽,~别人衣服
□	pʰæ̃1	给牲口~食物
□	tsɑ2	被车轧了
䜺	ʂʅ1	豆豉
一	i1	
丁	tsiəŋ1	
七	tsʰi1	
万	væ̃5	
丈	tʂɑŋ5	
三	sæ̃1	
上	ʂɑŋ5	
下	ɕiɑ5	
不	pu1	
与	y3	
丑	tʂʰəu3	
專	tʂæ̃1	
且	tsʰiə3	
且	tɕʰiə3	
世	ʂʅ5	
丘	tɕʰiəu1	
丙	piəŋ3	
叢	tsʰuŋ1	
東	tuŋ1	
丞	tsʰəŋ2	
丢	tsiəu1	
兩	liɑŋ5	两个
嚴	iæ̃2	
喪	sɑŋ3	
个	kɤ5	
中	tʃəŋ1	
串	tʃʰæ̃5	
臨	liəŋ2	
丸	væ̃2	
丹	tæ̃1	
爲	vei2	
主	tʃʅ3	
麗	li5	
舉	tɕy3	
乃	lɛ3	
久	tɕiəu3	
麽	iɔ1	
義	i5	
之	tsɿ1	
烏	vu1	
乍	tsɑ5	
乏	fɑ2	
樂	luo1	
樂	yə1	音乐
乖	kuɛ1	
乘	tsʰəŋ2	
乙	i1	
九	tɕiəu3	
乞	tɕʰi1	
也	iə3	
習	si2	
鄉	ɕiɑŋ1	
書	ʃʅ1	
買	mɛ3	
亂	lyæ̃5	
乾	tsʰiæ̃2	
了	liɔ1	
爭	tsəŋ1	
事	sɿ5	
二	ər5	
于	y2	
虧	kʰui1	
云	yəŋ2	
互	xu5	
五	vu3	
井	tsiəŋ3	
亞	iɑ5	
亡	vɑŋ2	
交	tɕiɔ1	
亦	i1	
畝	mu3	
享	ɕiɑŋ3	
京	tɕiəŋ1	
亮	liɑŋ5	
親	tsʰiəŋ1	
人	ʐəŋ2	
億	i5	
仁	ʐəŋ2	
僅	tɕiəŋ5	
仆	pʰu1	
仇	tʂʰəu2	
今	tɕiəŋ1	
介	tɕiə5	
仍	ʐəŋ2	
从	tsʰuŋ1	
仑	lyəŋ5	
倉	tsʰɑŋ1	
他	tʰɑ1	
仗	tʂɑŋ5	
付	fu5	
仙	siæ̃1	
代	tɛ5	
令	liəŋ5	
以	i3	
儀	i2	
仰	iɑŋ3	
仲	tʃəŋ5	
件	tɕiæ̃5	
價	tɕiɑ5	
任	ʐəŋ2	责任,性任
份	fəŋ5	
仿	fɑŋ3	
企	tɕʰi5	
伊	i1	
伏	fu2	
伐	fɑ2	
休	ɕiəu1	
衆	tʃəŋ5	
優	iəu1	
傘	sæ̃3	
偉	vei3	
傳	tʃʰæ̃2	传送
傳	tʃæ̃5	传记
伢	iɑ2	
傷	ʂɑŋ1	
伯	pei1	
伴	pæ̃5	
伸	ʂəŋ1	
伺	sɿ5	
似	sɿ5	
佃	tsiæ̃3	
但	tæ̃5	
位	vei5	
低	tsi1	
佑	iəu5	
體	tsʰi3	
佘	ʂɤ2	
余	y2	
佛	fo2	
作	tsuo1	
作	vei2	
佞	ȵiəŋ2	
你	ȵi3	
佳	tɕiɑ1	
使	sɿ3	
侄	tʂʅ2	
侈	tʂʰʅ3	
侉	kʰuɑ3	
例	li5	
侍	sɿ5	
供	kuŋ5	
偵	tsəŋ1	
側	tsʰei1	
侵	tsiəŋ1	
便	pʰiæ̃2	
便	piæ̃5	
促	tsʰu1	
俊	tɕyəŋ5	
俏	ɕiɔ3	
俗	ɕy2	
俘	fu1	
保	pɔ3	
信	siəŋ5	
儉	tɕiæ̃5	
修	siəu1	
俱	tɕy5	
俸	fəŋ5	
倒	tɔ3	
倔	tɕyə5	
倘	tʰɑŋ3	
倚	i3	
借	tsiə5	
倡	tʂʰɑŋ5	
倦	tɕyæ̃3	
倪	ȵi2	
倭	uo1	
債	tsɛ5	
值	tʂʰʅ2	
傾	tɕʰyəŋ1	
假	tɕiɑ5	假期
偏	pʰiæ̃1	
做	tsuo5	
停	tsʰiəŋ2	
健	tɕiæ̃5	
偶	ŋəu3	
偷	tʰəu1	
償	tʂʰɑŋ2	
傅	fu5	
傍	pʰɑŋ5	
催	tsʰui1	
傲	ŋɔ5	
傻	ʂɑ3	
像	siɑŋ5	
僧	səŋ1	
