#漢字	音標	解釋
□	xa1	~东西
□	na3	~口
□	tsa3	~包
□	tsʰa3	~口
□	ka3	~球防卫
□	pæ3	~命
□	ŋæ3	~汤
□	pʰiɛ3	~着干
□	nəu3	~起:使励
□	tsʰei5	~巴
□	tin5	~子:拳头
□	pʰa1	一~口水
□	tiəu2	一小点，~~嘎
□	kʰa3	一~
□	pʰai3	一~
□	kaŋ3	一会儿
□	zaŋ2	不结实
□	tso3	交换
□	tsua2	低头
□	ŋa3	傻
□	pʰoŋ1	冲过来
□	poŋ3	凸
□	kʰæ5	刀痕
□	pʰa1	和
□	xo1	哄，~人
□	kʰoŋ2	圆滚滚
□	mao3	弄僵了
□	tsʰoŋ5	怂恿
□	tsua3	手不利索
□	o5	打~，弄脏
□	kaŋ2	扔石头
□	tʰən3	抖
□	pʰiɛ3	折断
□	tɕʰye3	折断
□	nia2	拖沓
□	poŋ2	拟声
□	tsʰoŋ3	推
□	miɛ1	掰
□	miɛ3	掰
□	tsuᶹ2	插进去
□	tʰoŋ3	摞动
□	kən3	整，一~块
□	naŋ3	晃荡
□	naŋ5	晾，~衣裳
□	tɕʰio1	末尾
□	tɕʰiao2	板子变形
□	ŋaŋ5	楞头
□	tʰuᶹ5	歹毒
□	mai1	没精神
□	tʰən2	清空器物等
□	piao5	滑~
□	i5	熄灭
□	tiao3	爱出风头
□	piɛ3	玩弄
□	kuaŋ3	甘蔗
□	pʰia5	用巴掌打
□	nia5	瘸
□	ŋən3	硌
□	pei3	耍玩
□	ka3	肉
□	pʰao1	肿大
□	maŋ1	胖
□	tsua2	脚踢
□	nia3	舔
□	tʰən1	蒸饭
□	tsuai3	装摸作样
□	tʰai1	讨好
□	fei5	调皮
□	tʰən5	赖着不走
□	kʰa2	跨
□	tɕʰia2	跨
□	pia5	踏、抹
□	tsʰoŋ5	逞能
□	kai2	量词
□	paŋ2	量词
□	taŋ2	量词
□	toŋ2	量词
㝩	kʰaŋ3	盖
㞎	pa3	
㤢	to5	
䟫	tsʰən3	按压
一	i2	
丁	tin1	
七	tɕʰi2	
万	uæ5	
丈	tsaŋ5	
三	sæ1	
上	saŋ5	
下	ɕia5	
下	xa5	白，一~
不	puᶹ2	
与	y3	
丐	kai5	
丑	tsʰəu3	
專	tsuæ1	
且	tɕʰiɛ3	
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丟	tiəu1	
兩	niaŋ3	
嚴	niɛ2	
嚴	ŋæ2	白，门关~
喪	saŋ1	
喪	saŋ5	~气
个	ko5	
丫	ia1	
中	tsoŋ1	
丰	foŋ1	
串	tsʰuæ5	
臨	nin2	
丹	tæ1	
爲	uei5	
主	tsuᶹ3	
麗	ni5	
舉	tɕy3	
乃	nai3	
久	tɕiəu3	
麼	mo1	
義	i5	
之	tsɿ1	
烏	vuᶹ1	
乏	fa2	
樂	io2	
喬	tɕʰiao2	
乖	kuai1	
乘	tsʰən2	
乙	i2	
九	tɕiəu3	
也	iɛ3	
習	ɕi2	
鄕	ɕiaŋ1	
書	suᶹ1	
買	mai3	
亂	nuæ5	
了	niao3	丟~
爭	tsən1	
事	sɿ5	
二	æ5	
于	y2	
虧	kʰuei1	
雲	ioŋ2	a
雲	yn2	b
五	vuᶹ3	
井	tɕin3	
亞	ia5	
些	ɕiɛ1	
亡	uaŋ2	
交	tɕiao1	
亥	xai5	
產	tsʰæ3	文
產	tsʰuæ3	白
亨	xən1	
畝	məu3	
畝	moŋ3	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	niaŋ5	
親	tɕʰin1	
人	zən2	
億	i5	
什	sɿ2	
什	sən2	
什	sən5	~子
仁	zən2	
僅	tɕin3	
仆	pʰuᶹ2	
仇	tsʰəu2	
今	tɕin1	
介	kai5	
仍	zən2	
从	tsʰoŋ2	
仑	nən2	
倉	tsʰaŋ1	
仔	tsai3	
仕	sɿ5	
他	tʰa1	
他	na1	白
仙	ɕiɛ1	
仡	kæ2	
代	tai5	
令	nin5	
以	i3	
儀	i2	
們	moŋ1	
仰	niaŋ3	老
仲	tsoŋ5	
件	tɕiɛ5	
價	tɕia5	
任	zən2	
任	zən5	
份	foŋ5	
仿	faŋ3	
企	tɕʰi5	
伊	i1	
伐	fa2	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xo3	
會	xuei5	
會	kʰuai5	~计
傘	sæ3	
偉	uei3	
傳	tsʰuæ2	
傳	tsuæ5	
傷	saŋ1	
倫	nən2	
僞	uei5	
伯	pæ2	
估	kuᶹ3	
伸	sən1	
伸	tsʰən1	白，~手
位	uei5	
低	ti1	
住	tsuᶹ5	
佐	tso3	
佑	iəu5	
體	tʰi3	
何	xo2	
佘	sæ2	
余	y2	
佛	fuᶹ2	
作	tso2	
佟	tʰoŋ2	
你	ni3	
佣	ioŋ5	
佩	pʰei5	
佬	nao3	
佳	tɕia1	
使	sɿ3	
侃	kʰuæ3	~天嗑地
侄	tsɿ2	
例	ni5	
侗	toŋ5	
供	koŋ1	
供	koŋ5	
供	tɕioŋ1	~他读书
依	i1	
俠	ɕia2	
側	tsʰæ2	
側	tsæ2	白，~边
僑	tɕʰiao2	
侯	xəu2	
侵	tɕʰin5	
侵	tɕʰin1	文
便	piɛ5	
便	pʰiɛ2	~宜
促	tsʰuᶹ2	
俄	o2	
俊	tɕioŋ5	a
俊	tɕyn5	b
俑	ioŋ3	
俗	ɕiu2	
俗	suᶹ2	文
保	pao3	
信	ɕin5	
修	ɕiəu1	
倒	tao3	
倒	tao5	
候	xəu5	
借	tɕiɛ5	
倡	tsʰaŋ5	
債	tsai5	
値	tsɿ2	
傾	tɕʰioŋ1	a
傾	tɕʰioŋ3	a
假	tɕia3	
做	tso5	
停	tʰin2	
偶	ŋəu3	
偸	tʰəu1	
偸	nəu1	白
償	saŋ3	
傀	kʰuei3	
傅	fuᶹ1	师~
傍	paŋ5	
傣	tai3	
儲	tsʰuᶹ2	
催	tsʰuei1	
傲	ŋao5	
傻	sa3	
傻	ia3	□
傻	xa3	白
像	tɕʰiaŋ5	
像	ɕiaŋ5	文
僻	pʰi2	
儡	nuei3	
兒	æ2	
允	ioŋ3	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsao5	
先	ɕiɛ1	
光	kuaŋ1	
克	kʰæ2	
免	miɛ3	
兌	tuei5	~换
兌	tuei3	典当出去
兔	tʰuᶹ5	
黨	taŋ3	
兜	təu1	
八	pa2	
公	koŋ1	
六	nuᶹ2	
兮	ɕi1	
蘭	næ2	
共	koŋ5	
關	kuæ1	
興	ɕin1	
興	ɕin5	高~
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tiɛ3	
養	iaŋ3	
獸	səu5	
內	nuei5	
岡	kaŋ1	
冉	zæ3	
冊	tsʰæ2	
再	tsai5	
冒	mao5	
冗	zoŋ2	
寫	ɕiɛ3	
冚	kʰaŋ3	盖
軍	tɕioŋ1	a
軍	tɕyn1	b
農	noŋ2	
冠	kuæ1	
冠	kuæ5	
冢	tsoŋ3	
冬	toŋ1	
冰	pin1	
冲	tsʰoŋ1	
決	tɕye2	
況	kʰuaŋ5	
冶	iɛ3	
冷	nən3	
凍	toŋ5	
