#漢字	音標	解釋
一	i7	
七	tɕʰi7	
万	uan6	
三	san1	
上	saŋ6	
下	xɒ6	
世	sɿ5	
業	ȵie7	
東	toŋ1	
絲	sɿ1	
丟	tiou1	
兩	liaŋ3	
嚴	ȵian2	
个	ko5	
中	tsoŋ1	
丰	foŋ1	
主	tɕʯ3	
舉	tɕʯ3	
義	ȵi6	
烏	u1	
九	tɕiou3	
習	ɕi7	
書	ɕʯ1	
買	mæ3	
亂	lan6	
爭	tsen1	
事	sɿ6	
二	ɚ6	
虧	kʰuei1	
雲	ʯen2	
五	u3	
井	tɕin3	
交	tɕiau1	
產	tsʰan3	
亮	liaŋ6	
親	tɕʰin1	
人	ʐen2	
倉	tsʰaŋ1	
付	fu5	
件	tɕian6	
任	ʐen6	
休	ɕiou1	
優	iou1	
會	xuei6	
傘	san3	
傳	tɕʰʯan2	
傳	tɕʯan6	
傷	saŋ1	
位	uei6	
低	ti1	
住	tɕʯ6	
余	ʯ2	
佛	fu7	
作	tso7	
使	sɿ3	
侄	tsɿ7	
側	tsʰæ7	
便	pian6	
俊	tɕin5	
修	ɕiou1	
借	tɕie5	
假	tɕiɒ3	
做	tsou5	
停	tʰin2	
健	tɕian6	
偸	tʰou1	
像	ɕiaŋ6	
僧	sen1	
兒	ɚ2	
兄	ɕioŋ1	
充	tsʰoŋ1	
先	ɕian1	
光	kuaŋ1	
黨	taŋ3	
入	ʯ7	
全	tɕʰian2	
八	pɒ7	
公	koŋ1	
六	lou7	
蘭	lan2	
共	koŋ6	
關	kuan1	
興	ɕin5	
兵	pin1	
典	tian3	
寫	ɕie3	
軍	tɕʯen1	
冤	ʯan1	
冬	toŋ1	
冰	pin1	
冲	tsʰoŋ1	
決	tɕʯæ7	
冷	len3	
凍	toŋ5	
準	tɕʯen3	
減	tɕian3	
湊	tsʰou5	
几	tɕi3	
鳳	foŋ5	
凳	ten5	
凶	ɕioŋ1	
出	tɕʰʯ7	
擊	tɕi7	
刀	tau1	
分	fen1	
切	tɕʰie7	
划	xuɒ6	
列	lie7	
初	tsʰou1	
判	pʰan5	
別	pʰie7	
刮	kuɒ7	
制	tsɿ5	
刷	ɕʯɒ7	
刺	tsʰɿ5	
刻	kʰæ7	
剃	tʰi5	
削	ɕio7	
前	tɕian2	
劍	tɕian5	
剝	po7	
劇	tɕʯ6	
剩	sen6	
剪	tɕian3	
副	fu5	
割	ko7	
劈	pʰi7	
力	li7	
勸	tɕʰʯan5	
辦	pan6	
動	toŋ6	
勁	tɕin5	
勤	tɕʰin2	
勺	sau2	
勻	ʯen2	
包	pau1	
化	xuɒ5	
北	pæ7	
匠	tɕiaŋ6	
匹	pʰi2	
區	tɕʰʯ1	
十	sɿ7	
升	sen1	
半	pan5	
華	xuɒ2	
協	ɕie7	
卒	tsou7	
單	tan1	
賣	mæ6	
南	lan2	
占	tsan5	
衛	uei6	
印	in5	
危	uei2	
卷	tɕʯan3	
廠	tsʰaŋ3	
廳	tʰin1	
历	li7	
厭	ian5	
厚	xou6	
原	ʯan2	
去	tɕʰi5	
縣	ɕian6	
参	sen1	
及	tɕi7	
雙	ɕʯaŋ1	
反	fan3	
发	fɒ7	
叔	sou7	
取	tɕʰi3	
變	pian5	
口	kʰou3	
古	ku3	
句	tɕʯ5	
叫	tɕiau5	
可	kʰo3	
台	tʰæ2	
右	iou6	
葉	ie7	
號	xau6	
吃	tɕʰi7	
各	ko7	
吉	tɕi7	
名	min2	
后	xou6	
向	ɕiaŋ5	
呂	lʯ3	
吞	tʰen1	
含	xan2	
聽	tʰin5	
吳	u2	
吸	tɕi7	
吹	tɕʰʯ1	
味	uei6	
命	min6	
咸	xan2	
品	pʰin3	
響	ɕiaŋ3	
