#漢字	音標	解釋
□	ɕioŋ2	喜歡
一	i2	
丁	tin1	
七	tɕʰi2	
丈	tsaŋ5	
三	san1	
上	saŋ5	
下	ɕiᴀ5	
下	xᴀ1	白
不	puᶹ2	
丑	tsʰəu3	
且	tɕʰie3	
丕	pʰei3	
世	sɿ5	
丘	tɕʰiəu1	
丢	tiəu1	
中	tsoŋ1	
丸	yɛn2	
主	tsuᶹ3	
乃	nai3	
久	tɕiəu3	
么	mo3	~子:什么
義	ȵi5	老,参考于《四川方言音系》与《黔江县志》的简表
之	tsɿ1	
乎	fuᶹ2	
乘	sən2	
九	tɕiəu3	
乞	tɕʰi2	
也	ie3	
亂	nuan5	
了	niau3	
事	sɿ5	
二	ɚ5	
云	yn2	
五	vuᶹ3	
些	ɕi1	
亢	kʰaŋ5	
亥	xai5	
亨	xən1	
京	tɕin1	
亮	niaŋ5	
人	zən2	
仁	zən2	
今	tɕin1	
仍	zən2	
他	tʰᴀ1	
仙	ɕiɛn1	
代	tai5	
令	nin5	
以	i3	
仰	niaŋ3	
件	tɕiɛn5	
伐	fᴀ2	
休	ɕiəu1	
伯	pæ̞2	
伴	pan5	
伺	sɿ5	
似	sɿ5	
位	uei5	
低	ti1	
住	tsuᶹ5	
何	xo2	
余	y2	
佛	fuᶹ2	
作	tso2	
你	ni3	
你	ȵi3	老,参考于《四川方言音系》与《黔江县志》的简表
佩	pei5	
佳	tɕiᴀ1	
使	sɿ3	
來	nai2	
例	ni5	
侍	sɿ5	
供	koŋ1	1
供	koŋ5	2
依	i1	
侯	xəu2	
侵	tɕʰin5	
促	tɕʰiu2	
俗	ɕiu2	
信	ɕin5	
倉	tsʰaŋ1	
個	ko5	
倍	pei5	
們	mən1	
們	mən2	
倒	tau3	
候	xəu5	
借	tɕie5	
倦	tɕyɛn5	
倫	nən2	
債	tsai5	
值	tsɿ2	
假	tɕiᴀ3	
偏	pʰiɛn1	
做	tsuᶹ5	
停	tʰin2	
健	tɕiɛn5	
偵	tsən1	
偶	ŋəu3	
偷	tʰəu1	
傑	tɕie2	
備	pi5	
傾	tɕʰyn1	
像	ɕiaŋ5	
像	tɕʰiaŋ5	白
僕	pʰuᶹ2	
僧	sən1	
僻	pʰi2	
儒	zuᶹ2	
允	yn3	
元	yɛn2	
兄	ɕioŋ1	
充	tsʰoŋ1	
先	ɕiɛn1	
光	kuaŋ1	
兑	tuei5	
免	miɛn3	
兒	ɚ2	
兜	təu1	
入	zuᶹ2	
全	tɕʰyɛn2	
兩	niaŋ3	
八	pᴀ2	
公	koŋ1	
六	nuᶹ2	
兮	ɕi1	
共	koŋ5	
兵	pin1	
其	tɕʰi2	
典	tiɛn3	
内	nuei5	
再	tsai5	
冬	toŋ1	
決	tɕye2	
冷	nən3	
准	tsuən3	
凝	nin2	
凡	fan2	
出	tsʰuᶹ2	
刀	tau1	
分	fən1	
切	tɕʰie2	
列	nie2	
則	tsæ̞2	
剛	tɕiaŋ1	白,~~
初	tsʰuᶹ1	
删	suan1	
判	pʰan5	
利	ni5	
别	pie2	
刮	kuᴀ2	
到	tau5	
刷	suᴀ2	
刹	sᴀ2	
刻	kʰæ̞2	
削	ɕye2	
前	tɕʰiɛn2	
剖	pʰəu3	
剛	kaŋ1	
剝	po2	
剩	sən5	
剪	tɕiɛn3	
割	ko2	
劈	pʰi2	
力	ni2	
助	tsuᶹ5	
努	nuᶹ3	
勃	pʰuᶹ2	
勇	ioŋ3	
動	toŋ5	
勳	ɕyn1	
勸	tɕʰyɛn5	
包	pau1	
化	xuᴀ5	
北	pæ̞2	
匙	sɿ2	
匡	tɕʰiaŋ1	
匣	ɕiᴀ2	
匹	pʰi2	
十	sɿ2	
千	tɕʰiɛn1	
半	pan5	
卑	pei1	
卒	tɕiu2	
協	ɕie2	
南	nan2	
卜	pʰuᶹ2	
印	in5	
危	uei2	
即	tɕi2	
卻	tɕʰio2	
厚	xəu5	
原	yɛn2	
厭	iɛn5	
去	tɕʰy5	
去	tɕʰi5	白
去	tɕʰyn5	白,~年
又	iəu5	
及	tɕi2	
友	iəu3	
反	fan3	
叔	suᶹ2	
取	tɕʰy3	
叛	pʰan5	
口	kʰəu3	
古	kuᶹ3	
句	tɕy5	
只	tsɿ3	
叫	tɕiau5	
可	kʰo3	
台	tʰai2	
右	iəu5	
各	ko2	
合	xo2	
吉	tɕi2	
同	tʰoŋ2	
名	min2	
向	ɕiaŋ5	
君	tɕyn1	
吞	tʰən1	
否	fəu3	
含	xan2	
吳	vuᶹ2	
吸	tɕi2	
吹	tsʰuei1	
呂	nuei3	
告	kau5	
周	tsəu1	
味	uei5	
呼	fuᶹ1	
命	min5	
和	xo2	
咬	ŋau3	
哀	ŋai1	
品	pʰin3	
哥	ko1	
哭	kʰuᶹ2	
唇	suən2	
唐	tʰaŋ2	
唱	tsʰaŋ5	
商	saŋ1	
問	uən5	
啞	iᴀ3	
喘	tsʰuai3	
喚	xuan5	
喜	ɕi3	
喝	xo1	
喧	ɕyɛn1	
喫	tsʰɿ2	
單	tan1	
嗟	tɕiᴀ1	
嘴	tsuei3	
噎	i2	
器	tɕʰi5	
嚴	niɛn2	
嚼	tɕiau5	
囂	ɕiau1	
囊	naŋ2	
囚	tɕʰiəu2	
四	sɿ5	
回	xuei2	
因	in1	
困	kʰuən5	
國	kuæ̞2	
圈	tɕʰyɛn1	
圍	uei2	
園	yɛn2	
圓	yɛn2	
圖	tʰuᶹ2	
團	tʰuan2	
土	tʰuᶹ3	
在	tsai5	
地	ti5	
均	tɕyn1	
坐	tso5	
坑	kʰən1	
墳	fən2	
坡	pʰo1	
坤	kʰuən1	
垂	tsʰuei2	
埋	mai2	
域	iu2	
培	pʰei2	
堂	tʰaŋ2	
堆	tuei1	
堤	tʰi2	
堯	iau2	
報	pau5	
塊	kʰuai3	
塔	tʰᴀ2	
塞	sæ̞2	
增	tsən1	
墨	mæ̞2	
壁	pi2	
壞	xuai5	
士	sɿ5	
壬	zən2	
夀	səu5	
外	uai5	
多	to1	
夜	ie5	
够	kəu5	
夢	moŋ5	
大	tᴀ5	
天	tʰiɛn1	
太	tʰai5	
央	iaŋ1	
失	sɿ2	
夷	i2	
奇	tɕʰi2	
奉	foŋ5	
奏	tsəu5	
奔	pən1	
套	tʰau5	
奚	ɕi1	
奧	ŋau5	
奪	to2	
奮	fən5	
女	ny3	
女	ȵy3	老,参考于《四川方言音系》与《黔江县志》的简表
奴	nuᶹ2	
奶	nai1	1
奶	nai3	2
