#漢字	音標	解釋
□	pie3	弄;碰
□	yo5b	怎么
□	pʰia3	枪声
□	kʰua5b	树枝
□	pʰie5b	次品
□	ɕya5b	甩掉尾巴
□	ye3	瘪着嘴巴
□	çia1	脚打开
□	lia5a	脚瘸了
□	lõ5b	脚后跟
□	lia3	舔
□	ie3	表示惊讶
□	pʰõ1	赶
□	niau2	软
一	i2	
丁	tin1	
七	tɕʰi2	
万	uã5a	
丈	tɕyõ5a	
三	sã1	
上	ʑyõ3	
下	xa5b	
与	y3	
丐	kai5a	
丑	tsʰəu3	
專	tɕyɛ̃1	
且	tɕʰie3	
丕	pʰi3	
世	sɿ5a	
丘	cʰiəu1	
丙	pin3	
東	toŋ1	
絲	sɿ1	
丞	dzən2	
兩	liɔ̃3	
嚴	niɛ̃2	
喪	sõ1	
个	ko5a	
丫	ia1	
中	tsoŋ1	
中	tsoŋ5a	
丰	foŋ1	
串	tɕʰyɛ̃5b	
臨	lin2	
丹	fã1	
爲	uei5a	
爲	uei2	作~
主	tɕy3	
麗	li5a	
舉	tɕy3	
久	ciəu3	
義	ni5b	
之	tsɿ1	
烏	u1	
乎	fu1	
乏	fa5b	
樂	lo5a	
樂	yo5b	
喬	ʝiau2	
乖	kuai1	
乘	dzən2	
乙	ie5b	
九	ciəu3	
乞	cʰi3	
也	ia3	
習	ɕi2	
鄉	ɕyõ1	
書	ɕy2	
買	mai5b	
亂	lõ5a	
乾	ʝiɛ̃2	
乾	kã1	~净
了	liau3	
爭	tsõ1-	
爭	tsən1=	
事	sɿ5a	
二	ə5a	
于	y2	
虧	kʰuei1	
云	yn2	
互	fu5a	
五	u3	
井	tɕiɔ̃3	
些	ɕie1	
些	ɕie5a	
亡	õ2	
交	ciau1	
亥	ɣai5b	
亦	i2	
產	tsʰã3	
亨	xən1	
畝	mo3	
享	ɕyõ3	
京	cin1	
亭	din2	
亮	liɔ̃5a	
親	tɕʰin1	
親	tɕʰin5b	
人	n̩2-	
人	in2=	
億	i5a	
仁	in2	
僅	cin3	
仆	pʰu3	
仇	dzəu2	
今	cin1	
介	kai5a	
仍	in2	
从	dzoŋ2	
仑	lən2	
倉	tsʰõ1	
仕	sɿ5a	
仗	tɕyõ5a	
付	fu5a	
仙	ɕiɛ̃1	
代	tai5a	
令	lin5a	
以	i3	
儀	i2	
仰	niau3	
仲	tsoŋ5a	
件	ʝiɛ̃3-	
件	ciɛ̃5a=	
價	cia5a	
任	in5a	
份	fən5b	
仿	xõ3	
企	cʰi5b	
伊	i5b	
伍	u3	
伏	pʰu5b-	
伏	fu2=	
伐	fa2	
休	çiəu1	
衆	tsoŋ5b	
優	iəu1	
伙	xo3	
會	kʰuai5b	~计
會	fei5b	开~
傘	sã3	
偉	uei3	
傳	ʑyɛ̃2	
傷	ɕyõ1	
倫	lən2	
僞	uei5a	
伯	pei5b-	
伯	pə2=	
估	ku1	
伴	bõ3	
伶	lin2	
伺	sɿ5b	
似	sɿ5a	
佃	diɛ̃5b	
但	dã5b	
位	uei5a	
低	ti1	
住	ʑy5b	
佐	tso3	
佑	iəu5a	
體	tʰi3	
何	ɣo2	
余	y2	
佛	fu2	
作	tso5b	
你	n̩3	
佩	pʰei5b	
使	sɿ3	
侄	tsɿ5b	
侈	tsʰɿ3	
例	li5a	
供	koŋ1	
供	koŋ5a	
依	i1	
僥	ɕiau1	
偵	tsən1	
側	tsʰə5b	
僑	ʝiau2	
儂	loŋ2	
侮	u3	
侯	ɣəu2	
侵	tɕʰin5b	
便	biɛ̃2	~宜
便	biɛ̃5a	方~
促	tsʰəu5b	
俄	ŋo2	
俊	tɕyn5a	
俏	tɕʰiau5b	
俗	səu5b	
俘	fu2	
保	pau3	
信	ɕin5a	
儉	ciɛ̃3	
修	ɕiəu1	
俯	fu3	
俱	tɕy5a	
俸	foŋ5a	
倍	bei5b	
倒	tau5a	~垃圾
倒	tau3	打~
